post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
164441331.sunday-brunch-with-franklin-and-friends,2025-05-27T13:03:06.393Z,true,2025-05-27T13:03:06.531Z,2025-05-27T13:03:06.531Z,newsletter,everyone,Sunday Brunch with Franklin & Friends,"Once again, the Hot Luck Festival served up a weekend delight.",
152162975.a-fall-weekend-in-san-antonio,,false,,,newsletter,everyone,,,
151841480.a-fall-weekend-in-austin,,false,,,newsletter,everyone,,,
151778791.how-to-get-sucked-into-formula-1,,false,,,newsletter,everyone,,,
142282285.atx-open-2024-finals-and-wrap-up,,false,,,newsletter,everyone,,,
142246172.atx-open-2024-danielle-collins,2024-03-02T19:55:10.841Z,true,2024-03-02T19:55:10.965Z,2024-03-02T19:55:10.965Z,newsletter,everyone,ATX Open 2024: Danielle Collins,The ups and downs of life on the tour,
142014411.atx-open-2024-opening-weekend,2024-02-25T04:40:22.701Z,true,2024-02-25T04:40:22.787Z,2024-02-25T04:40:22.787Z,newsletter,everyone,ATX Open 2024: Opening Weekend,Watching tennis is great. Watching it live is even better.,
129224305.special-edition-new-england-journeys,,false,,,newsletter,everyone,,,
113777561.ideas,,false,,,newsletter,everyone,,,
109491768.south-by-and-southwest,2023-03-21T03:12:50.774Z,true,2023-03-21T03:12:50.857Z,2023-03-21T03:12:50.857Z,newsletter,everyone,"South, by, & Southwest ",Plus: my week at Austin's most cliched event.,
107315917.tennis-extra-more-tennis,2023-03-09T04:31:00.755Z,true,2023-03-09T04:31:00.907Z,2023-03-09T04:31:00.907Z,newsletter,everyone,Tennis Extra: More Tennis,This is the last of the tennis. I promise*.,
106224092.tennis-tennis-and-more-tennis,2023-03-07T03:49:55.058Z,true,2023-03-07T03:49:55.145Z,2023-03-07T03:49:55.145Z,newsletter,everyone,"Tennis, Tennis, & More Tennis","Plus: tennis, tennis, and tennis.",
103962364.italiano-pianoforte-62-miles-and,2023-05-29T13:01:37.555Z,true,2023-05-29T13:01:37.660Z,2023-05-29T13:01:37.660Z,newsletter,everyone,"Italiano Pianoforte, 6.2 Miles, & Approaching 50","Plus: a shipwreck tale, a restaurant review, and college sports.",
101121155.sxsw-tunes-the-rach-and-more-austin,2023-02-21T03:51:10.080Z,true,2023-02-21T03:51:10.214Z,2023-02-21T03:51:10.214Z,newsletter,everyone,"SXSW Tunes, the Rach, & More Austin Angst","Plus: running for my life, new Ant-Man, and old Lorenzo Lamas.",
98143675.new-fiction-hot-tv-and-freezing-in,2023-02-06T18:01:15.609Z,true,2023-02-06T18:01:15.695Z,2023-02-06T18:01:15.695Z,newsletter,everyone,"New Fiction, Hot TV, & Freezing in the Dark","Plus: Austin City Limits, The War on Drugs, and the four movements.",
96608473.hobbits-tennis-and-old-school-cue,2023-01-23T18:48:46.816Z,true,2023-01-23T18:48:46.941Z,2023-01-23T18:48:46.941Z,newsletter,everyone,"Hobbits, Tennis, & Old-School 'Cue","Plus: urban fiction, mysteries galore, and gritty television.",
95557408.french-music-knight-rider-and-arthouse,2023-01-16T18:00:15.516Z,true,2023-01-16T18:00:15.580Z,2023-01-16T18:00:15.580Z,newsletter,everyone,"French Music, Knight Rider, & Arthouse Cinema","Plus: AuStIn SuX, nachos, and a new gym toy.",
94302191.yellowstone-debussy-and-the-love,2023-01-09T18:00:19.206Z,true,2023-01-09T18:00:19.394Z,2023-01-09T18:00:19.394Z,newsletter,everyone,"Yellowstone, Debussy, and the Love Boat","Plus: depressing cinema, theatre, and a delicious sandwich.",
94288600.----THEME-PREVIEW----,2023-01-02T19:31:16.833Z,false,2023-01-02T19:31:16.833Z,2023-01-02T19:31:16.833Z,newsletter,everyone,Preview post,,
94254610.template,,false,,,newsletter,everyone,,,
92701085.barbecue-x-men-and-the-beths,2023-01-03T02:00:57.903Z,true,2023-01-03T02:00:58.027Z,2023-01-03T02:00:58.027Z,newsletter,everyone,"Barbecue, X-Men, & The Beths","Plus: art, protest, and the war in Ukraine.",
